"Instrument","Nom=","nanodac",,"Numéro de série =","0",,"Version du logiciel = ","V8.14"
,"Adresse MAC =","00:0A:8D:FF:12:F2",,"Langue =","FR",,"Pays =","FR",,"Fuseau horaire =","GMT"
"NomGroupe","Group 1"
"Temperature","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC1","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC2","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC3","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"Consigne","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"Puissance de chauffa","Bas =",0,"Haut =",100,"Unité =",""
"Date/Heure",,"Temperature","TC1","TC2","TC3","Consigne","Puissance de chauffa"
,,"°C","°C","°C","°C","°C",""
"29/04/21 16:07:10",,74.7,">Gamme",">Gamme",">Gamme",0.0,0
"29/04/21 16:07:20",,74.6,">Gamme",">Gamme",">Gamme",0.0,0
"29/04/21 16:07:30",,74.6,">Gamme",">Gamme",">Gamme",0.0,0
"29/04/21 16:07:40",,74.6,">Gamme",">Gamme",">Gamme",0.0,0
"29/04/21 16:07:50",,74.5,">Gamme",">Gamme",">Gamme",0.0,0
"29/04/21 16:08:00",,74.5,">Gamme",">Gamme",">Gamme",0.0,0
"29/04/21 16:08:10",,74.4,">Gamme",">Gamme",">Gamme",0.0,0
"29/04/21 16:08:20",,74.4,">Gamme",">Gamme",">Gamme",0.0,0
"29/04/21 16:08:30",,74.3,">Gamme",">Gamme",">Gamme",0.0,0
"29/04/21 16:08:40",,74.3,">Gamme",">Gamme",">Gamme",0.0,0
"29/04/21 16:08:50",,74.2,">Gamme",">Gamme",">Gamme",0.0,0
"29/04/21 16:09:00",,74.2,">Gamme",">Gamme",">Gamme",0.0,0
"29/04/21 16:09:10",,74.2,">Gamme",">Gamme",">Gamme",0.0,0
"29/04/21 16:09:20",,74.1,">Gamme",">Gamme",">Gamme",0.0,0
"29/04/21 16:09:30",,74.1,">Gamme",">Gamme",">Gamme",0.0,0
"29/04/21 16:09:40",,74.0,">Gamme",">Gamme",">Gamme",0.0,0
"29/04/21 16:09:50",,74.0,">Gamme",">Gamme",">Gamme",0.0,0
"29/04/21 16:10:00",,73.9,">Gamme",">Gamme",">Gamme",0.0,0
"29/04/21 16:10:10",,73.9,">Gamme",">Gamme",">Gamme",0.0,0
"29/04/21 16:10:20",,73.8,">Gamme",">Gamme",">Gamme",0.0,0
