"Instrument","Nom=","nanodac",,"Numéro de série =","0",,"Version du logiciel = ","V8.14"
,"Adresse MAC =","00:0A:8D:FF:12:F2",,"Langue =","FR",,"Pays =","FR",,"Fuseau horaire =","GMT"
"NomGroupe","Group 1"
"Temperature","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC1","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC2","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC3","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"Consigne","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"Puissance de chauffa","Bas =",0,"Haut =",100,"Unité =",""
"Date/Heure",,"Temperature","TC1","TC2","TC3","Consigne","Puissance de chauffa"
,,"°C","°C","°C","°C","°C",""
"16/04/21 07:38:30",,37.8,">Gamme",">Gamme",">Gamme",0.0,0
"16/04/21 07:38:40",,37.8,">Gamme",">Gamme",">Gamme",0.0,0
"16/04/21 07:38:50",,37.8,">Gamme",">Gamme",">Gamme",0.0,0
"16/04/21 07:39:00",,37.8,">Gamme",">Gamme",">Gamme",0.0,0
"16/04/21 07:39:10",,37.8,">Gamme",">Gamme",">Gamme",0.0,0
"16/04/21 07:39:20",,37.8,">Gamme",">Gamme",">Gamme",0.0,0
"16/04/21 07:39:30",,37.8,">Gamme",">Gamme",">Gamme",0.0,0
"16/04/21 07:39:40",,37.8,">Gamme",">Gamme",">Gamme",0.0,0
"16/04/21 07:39:50",,37.8,">Gamme",">Gamme",">Gamme",0.0,0
"16/04/21 07:40:00",,37.8,">Gamme",">Gamme",">Gamme",0.0,0
"16/04/21 07:40:10",,37.8,">Gamme",">Gamme",">Gamme",0.0,0
"16/04/21 07:40:20",,37.8,">Gamme",">Gamme",">Gamme",0.0,0
"16/04/21 07:40:30",,37.8,">Gamme",">Gamme",">Gamme",0.0,0
"16/04/21 07:40:40",,37.8,">Gamme",">Gamme",">Gamme",0.0,0
"16/04/21 07:40:50",,37.8,">Gamme",">Gamme",">Gamme",0.0,0
"16/04/21 07:41:00",,37.8,">Gamme",">Gamme",">Gamme",0.0,0
"16/04/21 07:41:10",,37.8,">Gamme",">Gamme",">Gamme",0.0,0
"16/04/21 07:41:20",,37.8,">Gamme",">Gamme",">Gamme",0.0,0
"16/04/21 07:41:30",,37.8,">Gamme",">Gamme",">Gamme",0.0,0
"16/04/21 07:41:40",,37.8,">Gamme",">Gamme",">Gamme",0.0,0
