"Instrument","Nom=","nanodac",,"Numéro de série =","0",,"Version du logiciel = ","V8.14"
,"Adresse MAC =","00:0A:8D:FF:12:F2",,"Langue =","FR",,"Pays =","FR",,"Fuseau horaire =","GMT"
"NomGroupe","Group 1"
"Temperature","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC1","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC2","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC3","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"Consigne","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"Puissance de chauffa","Bas =",0,"Haut =",100,"Unité =",""
"Date/Heure",,"Temperature","TC1","TC2","TC3","Consigne","Puissance de chauffa"
,,"°C","°C","°C","°C","°C",""
"19/04/21 06:35:51.625","Démarrage du système"
"19/04/21 06:35:51.625","Version de config: 4"
"19/04/21 06:35:51.625","Version de sécurité: 2"
"19/04/21 06:35:51.625","Paramètres BDD valides"
"19/04/21 06:35:51.625","Section nvol valide"
"19/04/21 06:46:30",,26.7,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:46:40",,26.7,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:46:50",,26.8,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:47:00",,26.8,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:47:10",,26.8,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:47:20",,26.8,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:47:30",,26.9,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:47:40",,26.9,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:47:50",,26.9,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:48:00",,26.9,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:48:10",,26.9,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:48:20",,27.0,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:48:30",,27.0,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:48:40",,27.0,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:48:50",,27.0,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:49:00",,27.1,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:49:10",,27.1,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:49:20",,27.1,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:49:30",,27.1,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:49:40",,27.1,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:49:50",,27.1,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:50:00",,27.2,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:50:10",,27.2,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:50:20",,27.2,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:50:30",,27.2,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:50:40",,27.3,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:50:50",,27.3,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:51:00",,27.3,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:51:10",,27.3,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:51:20",,27.4,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:51:30",,27.4,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:51:40",,27.4,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:51:50",,27.4,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:52:00",,27.4,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:52:10",,27.5,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:52:20",,27.5,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:52:30",,27.5,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:52:40",,27.5,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:52:50",,27.5,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:53:00",,27.6,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:53:10",,27.6,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:53:20",,27.6,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:53:30",,27.6,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:53:40",,27.7,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:53:50",,27.7,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:54:00",,27.7,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:54:10",,27.7,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:54:20",,27.7,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:54:30",,27.7,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:54:40",,27.8,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:54:50",,27.8,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:55:00",,27.8,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:55:10",,27.8,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:55:20",,27.8,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:55:30",,27.9,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:55:40",,27.9,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:55:50",,27.9,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:56:00",,27.9,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:56:10",,28.0,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:56:20",,28.0,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:56:30",,28.0,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:56:40",,28.0,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:56:50",,28.0,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:57:00",,28.0,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:57:10",,28.1,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:57:20",,28.1,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:57:30",,28.1,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:57:40",,28.1,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:57:50",,28.1,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:58:00",,28.1,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:58:10",,28.0,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:58:20",,28.1,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:58:30",,28.1,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:58:40",,28.2,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:58:50",,28.2,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:59:00",,28.2,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:59:10",,28.2,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:59:20",,28.3,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:59:30",,28.3,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:59:40",,28.3,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:59:50",,28.3,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:00:00",,28.3,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:00:10",,28.4,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:00:20",,28.4,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:00:30",,28.4,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:00:40",,28.4,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:00:50",,28.4,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:01:00",,28.5,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:01:10",,28.5,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:01:20",,28.5,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:01:30",,28.5,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:01:40",,28.5,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:01:50",,28.6,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:02:00",,28.6,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:02:10",,28.6,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:02:20",,28.6,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:02:30",,28.6,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:02:40",,28.7,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:02:50",,28.7,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:03:00",,28.7,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:03:10",,28.7,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:03:20",,28.7,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:03:30",,28.8,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:03:40",,28.8,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:03:50",,28.8,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:04:00",,28.8,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:04:10",,28.8,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:04:20",,28.8,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:04:30",,28.9,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:04:40",,28.9,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:04:50",,28.9,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:05:00",,28.9,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:05:10",,28.9,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:05:20",,28.9,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:05:30",,29.0,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:05:40",,29.0,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:05:50",,29.0,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:06:00",,29.0,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:06:10",,29.0,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:06:20",,29.0,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:06:30",,29.1,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:06:40",,29.1,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:06:50",,29.1,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:07:00",,29.1,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:07:10",,29.1,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:07:20",,29.1,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:07:30",,29.2,">Gamme",">Gamme",">Gamme",0.0,0
