"Instrument","Nom=","nanodac",,"Numéro de série =","0",,"Version du logiciel = ","V8.14"
,"Adresse MAC =","00:0A:8D:FF:12:F2",,"Langue =","FR",,"Pays =","FR",,"Fuseau horaire =","GMT"
"NomGroupe","Group 1"
"Temperature","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC1","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC2","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC3","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"Consigne","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"Puissance de chauffa","Bas =",0,"Haut =",100,"Unité =",""
"Date/Heure",,"Temperature","TC1","TC2","TC3","Consigne","Puissance de chauffa"
,,"°C","°C","°C","°C","°C",""
"06/04/21 06:24:02.75","Démarrage du système"
"06/04/21 06:24:02.75","Version de config: 4"
"06/04/21 06:24:02.75","Version de sécurité: 2"
"06/04/21 06:24:02.75","Paramètres BDD valides"
"06/04/21 06:24:02.75","Section nvol valide"
"06/04/21 06:24:10",,19.5,">Gamme",">Gamme",">Gamme",0.0,0
"06/04/21 06:24:20",,19.5,">Gamme",">Gamme",">Gamme",0.0,0
"06/04/21 06:24:30",,19.6,">Gamme",">Gamme",">Gamme",0.0,0
"06/04/21 06:24:40",,19.6,">Gamme",">Gamme",">Gamme",0.0,0
"06/04/21 06:24:50",,19.7,">Gamme",">Gamme",">Gamme",0.0,0
"06/04/21 06:25:00",,19.7,">Gamme",">Gamme",">Gamme",0.0,0
"06/04/21 06:25:10",,19.8,">Gamme",">Gamme",">Gamme",0.0,0
"06/04/21 06:25:20",,19.8,">Gamme",">Gamme",">Gamme",0.0,0
"06/04/21 06:25:30",,19.9,">Gamme",">Gamme",">Gamme",0.0,0
"06/04/21 06:25:40",,19.9,">Gamme",">Gamme",">Gamme",0.0,0
"06/04/21 06:25:50",,20.0,">Gamme",">Gamme",">Gamme",0.0,0
"06/04/21 06:26:00",,20.0,">Gamme",">Gamme",">Gamme",0.0,0
"06/04/21 06:26:10",,20.0,">Gamme",">Gamme",">Gamme",0.0,0
"06/04/21 06:26:20",,20.1,">Gamme",">Gamme",">Gamme",0.0,0
"06/04/21 06:26:30",,20.1,">Gamme",">Gamme",">Gamme",0.0,0
"06/04/21 06:26:40",,20.1,">Gamme",">Gamme",">Gamme",0.0,0
"06/04/21 06:26:50",,20.2,">Gamme",">Gamme",">Gamme",0.0,0
