"Instrument","Nom=","nanodac",,"Numéro de série =","0",,"Version du logiciel = ","V8.14"
,"Adresse MAC =","00:0A:8D:FF:12:F2",,"Langue =","FR",,"Pays =","FR",,"Fuseau horaire =","GMT"
"NomGroupe","Group 1"
"Temperature","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC1","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC2","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC3","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"Consigne","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"Puissance de chauffa","Bas =",0,"Haut =",100,"Unité =",""
"Date/Heure",,"Temperature","TC1","TC2","TC3","Consigne","Puissance de chauffa"
,,"°C","°C","°C","°C","°C",""
"25/04/21 15:01:20",,37.6,">Gamme",">Gamme",">Gamme",0.0,0
"25/04/21 15:01:30",,37.6,">Gamme",">Gamme",">Gamme",0.0,0
"25/04/21 15:01:40",,37.6,">Gamme",">Gamme",">Gamme",0.0,0
"25/04/21 15:01:50",,37.6,">Gamme",">Gamme",">Gamme",0.0,0
"25/04/21 15:02:00",,37.6,">Gamme",">Gamme",">Gamme",0.0,0
"25/04/21 15:02:10",,37.6,">Gamme",">Gamme",">Gamme",0.0,0
"25/04/21 15:02:20",,37.6,">Gamme",">Gamme",">Gamme",0.0,0
"25/04/21 15:02:30",,37.6,">Gamme",">Gamme",">Gamme",0.0,0
"25/04/21 15:02:40",,37.6,">Gamme",">Gamme",">Gamme",0.0,0
"25/04/21 15:02:50",,37.6,">Gamme",">Gamme",">Gamme",0.0,0
"25/04/21 15:03:00",,37.6,">Gamme",">Gamme",">Gamme",0.0,0
"25/04/21 15:03:10",,37.6,">Gamme",">Gamme",">Gamme",0.0,0
"25/04/21 15:03:20",,37.6,">Gamme",">Gamme",">Gamme",0.0,0
"25/04/21 15:03:30",,37.6,">Gamme",">Gamme",">Gamme",0.0,0
"25/04/21 15:03:40",,37.6,">Gamme",">Gamme",">Gamme",0.0,0
"25/04/21 15:03:50",,37.6,">Gamme",">Gamme",">Gamme",0.0,0
"25/04/21 15:04:00",,37.6,">Gamme",">Gamme",">Gamme",0.0,0
"25/04/21 15:04:10",,37.6,">Gamme",">Gamme",">Gamme",0.0,0
"25/04/21 15:04:20",,37.6,">Gamme",">Gamme",">Gamme",0.0,0
"25/04/21 15:04:30",,37.6,">Gamme",">Gamme",">Gamme",0.0,0
