"Instrument","Nom=","nanodac",,"Numéro de série =","0",,"Version du logiciel = ","V8.14"
,"Adresse MAC =","00:0A:8D:FF:12:F2",,"Langue =","FR",,"Pays =","FR",,"Fuseau horaire =","GMT"
"NomGroupe","Group 1"
"Temperature","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC1","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC2","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC3","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"Consigne","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"Puissance de chauffa","Bas =",0,"Haut =",100,"Unité =",""
"Date/Heure",,"Temperature","TC1","TC2","TC3","Consigne","Puissance de chauffa"
,,"°C","°C","°C","°C","°C",""
"03/05/21 07:39:56.625","Démarrage du système"
"03/05/21 07:39:56.625","Version de config: 4"
"03/05/21 07:39:56.625","Version de sécurité: 2"
"03/05/21 07:39:56.625","Paramètres BDD valides"
"03/05/21 07:39:56.625","Section nvol valide"
"03/05/21 07:50:30",,27.0,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:50:40",,27.0,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:50:50",,27.1,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:51:00",,27.1,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:51:10",,27.1,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:51:20",,27.1,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:51:30",,27.1,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:51:40",,27.2,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:51:50",,27.2,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:52:00",,27.2,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:52:10",,27.2,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:52:20",,27.2,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:52:30",,27.2,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:52:40",,27.3,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:52:50",,27.3,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:53:00",,27.3,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:53:10",,27.3,">Gamme",">Gamme",">Gamme",0.0,0
